# For annotating ICES region based on FDIR hovedområde
# Hovedområde area codes used by the Norwegian Directorate of Fisheries.
# ICESlowestmatchingsubdivision is the lowest ICES subdivision that can be matched at least partially by combinations of FDIR hovedområde
# ICESlowestsubdivision is the lowest subdivision of the ICES regions that overlaps with the other two columns.
# Hovedområde kode	ICES region 3
00	27.2.a
01	27.1.b
02	27.1.b
03	27.1.b
04	27.2.a
05	27.2.a
06	27.2.a
07	27.2.a
08	27.4.a
09	27.3.a
10	27.1.b
11	27.1.b
12	27.2.a
20	27.2.b
21	27.2.b
22	27.2.b
25	27.2.b
26	27.2.b
27	27.2.b
28	27.4.a
30	27.2.a
31	27.5.b
34	27.2.a
35	27.2.a
36	27.2.a
37	27.2.a
38	27.2.a
39	27.2.a
40	27.4.c
41	27.4.b
42	27.4.a
43	27.6.a
47	27.6.b
50	27.2.a
51	27.5.a
52	27.5.a
53	27.5.a
54	27.5.a
55	27.5.a
56	27.5.a
57	27.5.b
58	27.5.b
59	27.5.a
60	27.14.b
61	27.14.b
62	27.14.a
