#Platformnumber	Nation code
3922	58
3921	58
3920	58
3919	58
3918	58
3917	58
3915	58
3913	58
3904	58
3900	58
3899	58
3894	58
3883	58
3688	58
3686	58
3680	58
3679	58
3654	58
3638	58
3636	58
3568	58
3565	58
3564	58
3552	58
3535	58
3522	58
3521	58
3494	58
3493	58
3492	58
3491	58
3490	58
3488	58
3487	58
3464	58
3425	58
3423	58
3420	58
3419	58
3418	58
3417	58
3410	58
3409	58
3390	58
3375	58
3365	58
3338	58
3336	58
3335	58
3334	58
3929	58
3928	58
3927	58
3926	58
3925	58
3795	58
3777	58
3773	58
3744	58
3740	58
3739	58
3736	58
3698	58
3694	58
3317	58
3316	58
3315	58
3314	58
3313	58
3312	58
3311	58
3285	58
3284	58
3283	58
3281	58
3269	58
3268	58
3267	58
3266	58
3265	58
3264	58
3263	58
3262	58
3261	58
3253	58
3234	58
3232	58
3230	58
3310	58
3309	58
3308	58
3307	58
3306	58
3229	58
3228	58
3227	58
3225	58
3224	58
3223	58
3222	58
3221	58
3215	58
3289	58
3288	58
3287	58
3286	58
3206	58
3204	58
3202	58
3194	58
3191	58
3186	58
3185	58
3182	58
3163	58
3162	58
3161	58
3160	58
3159	58
3158	58
3157	58
3141	58
3134	58
3130	58
3122	58
3120	58
3119	58
3111	58
3109	58
3107	58
3102	58
3096	58
3090	58
3089	58
3085	58
3077	58
3074	58
3072	58
3071	58
3069	58
3068	58
3062	58
3060	58
3059	58
3058	58
3055	58
3051	58
3039	58
3037	58
3009	58
3004	58
3205	58
2991	58
2989	58
2988	58
2987	58
2986	58
2984	58
2983	58
2982	58
2980	58
2979	58
2977	58
2975	58
2974	58
2962	58
2960	58
2959	58
2958	58
2957	58
2955	58
2954	58
2952	58
2948	58
2947	58
2946	58
2943	58
2940	58
2937	58
2936	58
2935	58
2932	58
2889	58
2886	58
2885	58
2884	58
2883	58
2882	58
2881	58
2879	58
2878	58
2874	58
2875	58
2876	58
2872	58
2985	58
2890	58
2891	58
2902	58
